Date,Population
1960,5643182
1961,5753024
1962,5866061
1963,5980417
1964,6093321
1965,6203299
1966,6309770
1967,6414995
1968,6523791
1969,6642632
1970,6776381
1971,6927269
1972,7094834
1973,7277960
1974,7474338
1975,7682479
1976,7900997
1977,8130988
1978,8376147
1979,8641521
1980,8929900
1981,9244507
1982,9582156
1983,9931562
1984,10277321
1985,10609042
1986,10921037
1987,11218268
1988,11513968
1989,11827237
1990,12171441
1991,12553446
1992,12968345
1993,13403734
1994,13841301
1995,14268994
1996,14682284
1997,15088981
1998,15504318
1999,15949766
2000,16440924
2001,16983266
2002,17572649
2003,18203369
2004,18865716
2005,19552542
2006,20262399
2007,20997687
2008,21759420
2009,22549547
2010,23369131
2011,24218565
2012,25096150
2013,25998340
2014,26920466
2015,27859305
2016,28813463
2017,29784193
